[2023-11-15 11:27:12] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:27:16] {Debug}{mainwindow.cpp:79} 		 on_pushButton_clicked
[2023-11-15 11:27:16] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:27:17] {Debug}{mainwindow.cpp:79} 		 on_pushButton_clicked
[2023-11-15 11:27:17] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:27:18] {Debug}{mainwindow.cpp:79} 		 on_pushButton_clicked
[2023-11-15 11:27:18] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:27:18] {Debug}{mainwindow.cpp:79} 		 on_pushButton_clicked
[2023-11-15 11:27:18] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:29:26] {Debug}{mainwindow.cpp:79} 		 on_pushButton_clicked
[2023-11-15 11:29:26] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:29:26] {Debug}{mainwindow.cpp:79} 		 on_pushButton_clicked
[2023-11-15 11:29:26] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:32:24] {Debug}{mainwindow.cpp:79} 		 on_pushButton_clicked
[2023-11-15 11:32:24] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:32:24] {Debug}{mainwindow.cpp:79} 		 on_pushButton_clicked
[2023-11-15 11:32:24] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:32:25] {Debug}{mainwindow.cpp:79} 		 on_pushButton_clicked
[2023-11-15 11:32:25] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:32:28] {Debug}{mainwindow.cpp:79} 		 on_pushButton_clicked
[2023-11-15 11:32:28] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:32:28] {Debug}{mainwindow.cpp:79} 		 on_pushButton_clicked
[2023-11-15 11:32:28] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:34:25] {Debug}{mainwindow.cpp:79} 		 on_pushButton_clicked
[2023-11-15 11:34:25] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:34:26] {Debug}{mainwindow.cpp:79} 		 on_pushButton_clicked
[2023-11-15 11:34:26] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:35:05] {Debug}{mainwindow.cpp:79} 		 on_pushButton_clicked
[2023-11-15 11:35:05] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:35:05] {Debug}{mainwindow.cpp:79} 		 on_pushButton_clicked
[2023-11-15 11:35:05] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:35:49] {Debug}{mainwindow.cpp:79} 		 on_pushButton_clicked
[2023-11-15 11:35:49] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:35:49] {Debug}{mainwindow.cpp:79} 		 on_pushButton_clicked
[2023-11-15 11:35:49] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:37:14] {Debug}{mainwindow.cpp:79} 		 on_pushButton_clicked
[2023-11-15 11:37:14] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:37:14] {Debug}{mainwindow.cpp:79} 		 on_pushButton_clicked
[2023-11-15 11:37:14] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:37:15] {Debug}{mainwindow.cpp:79} 		 on_pushButton_clicked
